dataset,video,event_id,onset,duration
BMC,111,0,0,1499
BMC,112,0,0,1502
BMC,121,0,0,1499
BMC,122,0,0,1503
BMC,211,0,0,1499
BMC,212,0,0,1499
BMC,221,0,0,1499
BMC,222,0,0,1499
BMC,311,0,0,180
BMC,311,1,181,1318
BMC,312,0,0,603
BMC,312,1,604,895
BMC,321,0,0,40
BMC,321,1,41,1458
BMC,322,0,4,1
BMC,322,1,6,5
BMC,322,2,13,1
BMC,322,3,17,3
BMC,322,4,23,19
BMC,322,5,44,6
BMC,322,6,51,2
BMC,322,7,54,4
BMC,322,8,59,2
BMC,322,9,63,2
BMC,322,10,73,2
BMC,322,11,77,21
BMC,322,12,99,2
BMC,322,13,102,1
BMC,322,14,105,20
BMC,322,15,126,1
BMC,322,16,128,2
BMC,322,17,131,1
BMC,322,18,134,1
BMC,322,19,136,3
BMC,322,20,141,2
BMC,322,21,147,3
BMC,322,22,151,1
BMC,322,23,154,2
BMC,322,24,157,94
BMC,322,25,252,12
BMC,322,26,267,7
BMC,322,27,275,3
BMC,322,28,279,39
BMC,322,29,319,1
BMC,322,30,321,1
BMC,322,31,323,29
BMC,322,32,355,23
BMC,322,33,379,2
BMC,322,34,383,9
BMC,322,35,397,836
BMC,322,36,1234,59
BMC,322,37,1294,31
BMC,322,38,1326,3
BMC,322,39,1330,23
BMC,322,40,1354,17
BMC,322,41,1372,12
BMC,322,42,1385,15
BMC,322,43,1401,2
BMC,322,44,1404,13
BMC,322,45,1418,83
BMC,411,0,0,5
BMC,411,1,6,2
BMC,411,2,9,4
BMC,411,3,15,1
BMC,411,4,19,1
BMC,411,5,21,32
BMC,411,6,54,42
BMC,411,7,99,1
BMC,411,8,101,1
BMC,411,9,103,2
BMC,411,10,107,6
BMC,411,11,114,64
BMC,411,12,182,8
BMC,411,13,191,2
BMC,411,14,200,2
BMC,411,15,205,2
BMC,411,16,210,1
BMC,411,17,216,1
BMC,411,18,219,2
BMC,411,19,223,13
BMC,411,20,237,19
BMC,411,21,257,6
BMC,411,22,264,1
BMC,411,23,266,7
BMC,411,24,274,3
BMC,411,25,279,46
BMC,411,26,326,1
BMC,411,27,329,1
BMC,411,28,331,4
BMC,411,29,337,5
BMC,411,30,343,15
BMC,411,31,359,125
BMC,411,32,485,243
BMC,411,33,729,29
BMC,411,34,760,6
BMC,411,35,768,18
BMC,411,36,787,15
BMC,411,37,807,11
BMC,411,38,819,1
BMC,411,39,821,6
BMC,411,40,828,17
BMC,411,41,846,52
BMC,411,42,899,110
BMC,411,43,1010,10
BMC,411,44,1024,5
BMC,411,45,1030,1
BMC,411,46,1033,18
BMC,411,47,1052,4
BMC,411,48,1057,16
BMC,411,49,1074,20
BMC,411,50,1095,1
BMC,411,51,1097,11
BMC,411,52,1109,4
BMC,411,53,1114,1
BMC,411,54,1116,2
BMC,411,55,1119,7
BMC,411,56,1128,12
BMC,411,57,1142,10
BMC,411,58,1153,4
BMC,411,59,1158,2
BMC,411,60,1162,3
BMC,411,61,1169,72
BMC,411,62,1242,20
BMC,411,63,1265,234
BMC,412,0,0,589
BMC,412,1,590,16
BMC,412,2,607,1
BMC,412,3,609,2
BMC,412,4,612,4
BMC,412,5,617,4
BMC,412,6,622,2
BMC,412,7,627,4
BMC,412,8,632,2
BMC,412,9,635,8
BMC,412,10,645,7
BMC,412,11,653,3
BMC,412,12,657,3
BMC,412,13,661,2
BMC,412,14,664,86
BMC,412,15,751,1
BMC,412,16,753,11
