dataset,video,frame,score,g_t
BMC,111,0,0.55,1
BMC,111,1,0.7499837,1
BMC,111,2,0.74999064,1
BMC,111,3,0.74999696,1
BMC,111,4,0.7499965,1
BMC,111,5,0.7499961,1
BMC,111,6,0.74999666,1
BMC,111,7,0.74999744,1
BMC,111,8,0.74999714,1
BMC,111,9,0.74999696,1
BMC,111,10,0.7499968,1
BMC,111,11,0.74999714,1
BMC,111,12,0.7499906,1
BMC,111,13,0.7499837,1
BMC,111,14,0.74999064,1
BMC,111,15,0.78782016,1
BMC,111,16,0.800196,1
BMC,111,17,0.8499961,1
BMC,111,18,0.29897657,1
BMC,111,19,0.19999741,1
BMC,111,20,0.19999717,1
BMC,111,21,0.19999695,1
BMC,111,22,0.19999678,1
BMC,111,23,0.19999714,1
BMC,111,24,0.1999906,1
BMC,111,25,0.19998375,1
BMC,111,26,0.19999063,1
BMC,111,27,0.19999695,1
BMC,111,28,0.19999646,1
BMC,111,29,0.19999611,1
BMC,111,30,0.19999668,1
BMC,111,31,0.19999741,1
BMC,111,32,0.19999717,1
BMC,111,33,0.19999695,1
BMC,111,34,0.19999678,1
BMC,111,35,0.19999714,1
BMC,111,36,0.1999906,1
BMC,111,37,0.19998375,1
BMC,111,38,0.19999063,1
BMC,111,39,0.19999695,1
BMC,111,40,0.19999646,1
BMC,111,41,0.19999611,1
BMC,111,42,0.19999668,1
BMC,111,43,0.19999741,1
BMC,111,44,0.19999717,1
BMC,111,45,0.19999695,1
BMC,111,46,0.19999678,1
BMC,111,47,0.19999714,1
BMC,111,48,0.1999906,1
BMC,111,49,0.19998375,1
BMC,111,50,0.19999063,1
BMC,111,51,0.19999695,1
BMC,111,52,0.19999646,1
BMC,111,53,0.19999611,1
BMC,111,54,0.19999668,1
BMC,111,55,0.19999741,1
BMC,111,56,0.19999717,1
BMC,111,57,0.19999695,1
BMC,111,58,0.19999678,1
BMC,111,59,0.19999714,1
BMC,111,60,0.1999906,1
BMC,111,61,0.19998375,1
BMC,111,62,0.19999063,1
BMC,111,63,0.19999695,1
BMC,111,64,0.19999646,1
BMC,111,65,0.19999611,1
BMC,111,66,0.19999668,1
BMC,111,67,0.19999741,1
BMC,111,68,0.19999717,1
BMC,111,69,0.19999695,1
BMC,111,70,0.19999678,1
BMC,111,71,0.19999714,1
BMC,111,72,0.1999906,1
BMC,111,73,0.19998375,1
BMC,111,74,0.19999063,1
BMC,111,75,0.19999695,1
BMC,111,76,0.19999646,1
BMC,111,77,0.19999611,1
BMC,111,78,0.19999668,1
BMC,111,79,0.19999741,1
BMC,111,80,0.19999717,1
BMC,111,81,0.19999695,1
BMC,111,82,0.19999678,1
BMC,111,83,0.19999714,1
BMC,111,84,0.1999906,1
BMC,111,85,0.19998375,1
BMC,111,86,0.19999063,1
BMC,111,87,0.19999695,1
BMC,111,88,0.19999646,1
BMC,111,89,0.19999611,1
BMC,111,90,0.19999668,1
BMC,111,91,0.19999741,1
BMC,111,92,0.19999717,1
BMC,111,93,0.19999695,1
BMC,111,94,0.19999678,1
BMC,111,95,0.19999714,1
BMC,111,96,0.1999906,1
BMC,111,97,0.19998375,1
BMC,111,98,0.19999063,1
BMC,111,99,0.19999695,1
BMC,111,100,0.19999646,1
BMC,111,101,0.19999611,1
BMC,111,102,0.19999668,1
BMC,111,103,0.19999741,1
BMC,111,104,0.19999717,1
BMC,111,105,0.19999695,1
BMC,111,106,0.19999678,1
BMC,111,107,0.19999714,1
BMC,111,108,0.1999906,1
BMC,111,109,0.19998375,1
BMC,111,110,0.19999063,1
BMC,111,111,0.19999695,1
BMC,111,112,0.19999646,1
BMC,111,113,0.19999611,1
BMC,111,114,0.19999668,1
BMC,111,115,0.19999741,1
BMC,111,116,0.19999717,1
BMC,111,117,0.19999695,1
BMC,111,118,0.19999678,1
BMC,111,119,0.19999714,1
BMC,111,120,0.1999906,1
BMC,111,121,0.19998375,1
BMC,111,122,0.19999063,1
BMC,111,123,0.19999695,1
BMC,111,124,0.19999646,1
BMC,111,125,0.19999611,1
BMC,111,126,0.19999668,1
BMC,111,127,0.19999741,1
BMC,111,128,0.19999717,1
BMC,111,129,0.19999695,1
BMC,111,130,0.19999678,1
BMC,111,131,0.19999714,1
BMC,111,132,0.1999906,1
BMC,111,133,0.19998375,1
BMC,111,134,0.19999063,1
BMC,111,135,0.19999695,1
BMC,111,136,0.19999646,1
BMC,111,137,0.19999611,1
BMC,111,138,0.19999668,1
BMC,111,139,0.19999741,1
BMC,111,140,0.19999717,1
BMC,111,141,0.19999695,1
