t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4968.0,1256.0,6.2398,59.88
0.100,warmup,4976.0,1200.0,5.9712,60.06
0.200,warmup,4976.0,1136.0,5.6527,60.03
0.301,warmup,4984.0,1080.0,5.3827,60.03
0.401,warmup,4976.0,1136.0,5.6527,59.94
0.501,warmup,4976.0,1176.0,5.8518,60.00
0.601,warmup,4976.0,1216.0,6.0508,60.03
0.701,warmup,4976.0,1240.0,6.1702,59.84
0.801,warmup,4968.0,1256.0,6.2398,59.88
0.901,warmup,4968.0,1280.0,6.3590,59.84
1.001,warmup,4968.0,1288.0,6.3988,59.84
1.102,warmup,4968.0,1296.0,6.4385,60.06
1.202,warmup,4968.0,1312.0,6.5180,60.00
1.302,warmup,4968.0,1312.0,6.5180,59.97
1.402,warmup,4968.0,1312.0,6.5180,59.97
1.502,warmup,4968.0,1320.0,6.5578,59.94
1.602,warmup,4968.0,1336.0,6.6372,59.91
1.702,warmup,4968.0,1336.0,6.6372,59.91
1.803,warmup,4968.0,1328.0,6.5975,59.91
1.903,warmup,4968.0,1344.0,6.6770,60.09
2.003,warmup,4968.0,1352.0,6.7167,60.16
2.103,warmup,4968.0,1344.0,6.6770,60.12
2.203,warmup,4968.0,1344.0,6.6770,60.00
2.303,warmup,4968.0,1344.0,6.6770,60.03
2.403,warmup,4968.0,1352.0,6.7167,59.97
2.504,warmup,4968.0,1352.0,6.7167,59.91
2.604,warmup,4968.0,1344.0,6.6770,59.91
2.704,warmup,4968.0,1344.0,6.6770,59.91
2.804,warmup,4968.0,1352.0,6.7167,60.09
2.904,warmup,4968.0,1344.0,6.6770,60.19
3.004,warmup,4968.0,1344.0,6.6770,60.03
3.104,warmup,4968.0,1352.0,6.7167,60.03
3.205,warmup,4968.0,1344.0,6.6770,60.06
3.305,warmup,4968.0,1336.0,6.6372,59.94
3.405,warmup,4968.0,1344.0,6.6770,60.00
3.505,warmup,4968.0,1344.0,6.6770,60.03
3.605,warmup,4968.0,1336.0,6.6372,59.94
3.705,warmup,4968.0,1344.0,6.6770,60.25
3.805,warmup,4968.0,1344.0,6.6770,60.16
3.905,warmup,4968.0,1336.0,6.6372,60.16
4.006,warmup,4968.0,1344.0,6.6770,60.06
4.106,warmup,4968.0,1344.0,6.6770,60.12
4.206,warmup,4968.0,1344.0,6.6770,60.06
4.306,warmup,4968.0,1344.0,6.6770,59.97
4.406,warmup,4968.0,1344.0,6.6770,59.97
4.506,warmup,4968.0,1344.0,6.6770,59.97
4.606,warmup,4968.0,1336.0,6.6372,60.25
4.707,warmup,4968.0,1344.0,6.6770,60.16
4.807,warmup,4968.0,1352.0,6.7167,60.09
4.907,warmup,4968.0,1352.0,6.7167,60.16
5.007,warmup,4968.0,1344.0,6.6770,60.12
5.107,warmup,4968.0,1344.0,6.6770,60.03
5.207,warmup,4968.0,1352.0,6.7167,60.03
5.307,warmup,4968.0,1344.0,6.6770,60.03
5.408,warmup,4968.0,1336.0,6.6372,60.03
5.508,warmup,4968.0,1344.0,6.6770,60.22
5.608,warmup,4968.0,1344.0,6.6770,60.25
5.708,warmup,4968.0,1336.0,6.6372,60.28
5.808,warmup,4968.0,1344.0,6.6770,60.09
