t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4976.0,1152.0,5.7324,60.16
0.100,warmup,4976.0,1120.0,5.5731,60.00
0.200,warmup,4976.0,1072.0,5.3343,60.06
0.301,warmup,4984.0,1040.0,5.1834,59.97
0.401,warmup,4976.0,1120.0,5.5731,59.94
0.501,warmup,4968.0,1272.0,6.3193,59.91
0.601,warmup,4968.0,1320.0,6.5578,59.91
0.701,warmup,4968.0,1416.0,7.0347,59.88
0.801,warmup,4960.0,1456.0,7.2218,60.12
0.901,warmup,4960.0,1504.0,7.4598,60.16
1.002,warmup,4960.0,1544.0,7.6582,60.06
1.102,warmup,4960.0,1560.0,7.7376,59.94
1.202,warmup,4952.0,1616.0,8.0024,59.97
1.302,warmup,4952.0,1656.0,8.2005,59.91
1.402,warmup,4952.0,1672.0,8.2797,60.09
1.502,warmup,4952.0,1688.0,8.3590,59.94
1.602,warmup,4952.0,1696.0,8.3986,59.91
1.702,warmup,4952.0,1728.0,8.5571,60.22
1.803,warmup,4952.0,1744.0,8.6363,60.16
1.903,warmup,4952.0,1744.0,8.6363,60.16
2.003,warmup,4952.0,1736.0,8.5967,60.03
2.103,warmup,4952.0,1744.0,8.6363,60.03
2.203,warmup,4952.0,1760.0,8.7155,60.00
2.303,warmup,4952.0,1760.0,8.7155,60.06
2.403,warmup,4952.0,1760.0,8.7155,60.06
2.504,warmup,4952.0,1744.0,8.6363,60.03
2.604,warmup,4952.0,1760.0,8.7155,60.03
2.704,warmup,4952.0,1768.0,8.7551,60.22
2.804,warmup,4952.0,1768.0,8.7551,60.28
2.904,warmup,4952.0,1760.0,8.7155,60.12
3.004,warmup,4952.0,1752.0,8.6759,60.19
3.104,warmup,4952.0,1768.0,8.7551,60.25
3.205,warmup,4952.0,1776.0,8.7948,60.28
3.305,warmup,4952.0,1768.0,8.7551,60.06
3.405,warmup,4952.0,1752.0,8.6759,60.06
3.505,warmup,4952.0,1760.0,8.7155,60.19
3.605,warmup,4944.0,1776.0,8.7805,60.31
3.705,warmup,4952.0,1776.0,8.7948,60.31
3.805,warmup,4952.0,1768.0,8.7551,60.25
3.905,warmup,4952.0,1752.0,8.6759,60.12
4.006,warmup,4952.0,1768.0,8.7551,60.19
4.106,warmup,4952.0,1784.0,8.8344,60.19
4.206,warmup,4952.0,1776.0,8.7948,60.38
4.306,warmup,4952.0,1768.0,8.7551,60.16
4.406,warmup,4952.0,1752.0,8.6759,60.06
4.506,warmup,4952.0,1776.0,8.7948,60.38
4.606,warmup,4952.0,1776.0,8.7948,60.41
4.706,warmup,4952.0,1776.0,8.7948,60.19
4.807,warmup,4952.0,1760.0,8.7155,60.38
4.907,warmup,4952.0,1760.0,8.7155,60.31
5.007,warmup,4944.0,1776.0,8.7805,60.28
5.107,warmup,4952.0,1768.0,8.7551,60.19
5.207,warmup,4952.0,1768.0,8.7551,60.41
5.307,warmup,4952.0,1744.0,8.6363,60.25
5.407,warmup,4952.0,1768.0,8.7551,60.19
5.508,warmup,4944.0,1776.0,8.7805,60.34
5.608,warmup,4952.0,1768.0,8.7551,60.34
5.708,warmup,4952.0,1760.0,8.7155,60.38
5.808,warmup,4952.0,1752.0,8.6759,60.25
5.908,warmup,4944.0,1768.0,8.7410,60.44
6.008,warmup,4944.0,1776.0,8.7805,60.38
6.108,warmup,4952.0,1776.0,8.7948,60.34
6.208,warmup,4952.0,1760.0,8.7155,60.44
6.309,warmup,4952.0,1760.0,8.7155,60.34
6.409,warmup,4952.0,1776.0,8.7948,60.44
6.509,warmup,4952.0,1768.0,8.7551,60.62
6.609,warmup,4952.0,1768.0,8.7551,60.44
6.709,warmup,4952.0,1744.0,8.6363,60.34
6.809,warmup,4952.0,1768.0,8.7551,60.31
6.909,warmup,4944.0,1776.0,8.7805,60.72
7.009,warmup,4952.0,1776.0,8.7948,60.38
7.110,warmup,4952.0,1768.0,8.7551,60.38
7.210,warmup,4952.0,1752.0,8.6759,60.31
7.310,warmup,4952.0,1776.0,8.7948,60.41
7.410,warmup,4952.0,1784.0,8.8344,60.41
7.510,warmup,4952.0,1776.0,8.7948,60.44
7.610,warmup,4952.0,1768.0,8.7551,60.38
7.710,warmup,4952.0,1752.0,8.6759,60.44
7.810,warmup,4944.0,1776.0,8.7805,60.44
7.911,warmup,4944.0,1776.0,8.7805,60.44
8.011,warmup,4944.0,1776.0,8.7805,60.62
8.111,warmup,4944.0,1768.0,8.7410,60.44
8.211,warmup,4944.0,1760.0,8.7014,60.50
8.312,warmup,4944.0,1776.0,8.7805,60.66
8.412,warmup,4944.0,1776.0,8.7805,60.44
8.512,warmup,4944.0,1776.0,8.7805,60.38
8.612,warmup,4944.0,1760.0,8.7014,60.66
8.713,warmup,4944.0,1768.0,8.7410,60.34
8.813,warmup,4944.0,1776.0,8.7805,60.44
8.913,warmup,4944.0,1776.0,8.7805,60.50
9.013,warmup,4944.0,1768.0,8.7410,60.44
9.113,warmup,4952.0,1752.0,8.6759,60.44
9.213,warmup,4944.0,1768.0,8.7410,60.56
9.313,warmup,4944.0,1768.0,8.7410,60.56
9.413,warmup,4952.0,1760.0,8.7155,60.62
9.514,warmup,4952.0,1736.0,8.5967,60.47
9.614,warmup,4952.0,1752.0,8.6759,60.75
9.714,warmup,4952.0,1760.0,8.7155,60.75
9.814,warmup,4952.0,1752.0,8.6759,60.69
9.914,warmup,4952.0,1736.0,8.5967,60.38
10.014,warmup,4952.0,1752.0,8.6759,60.75
10.114,warmup,4952.0,1760.0,8.7155,60.75
10.214,warmup,4952.0,1752.0,8.6759,60.59
10.315,warmup,4952.0,1744.0,8.6363,60.75
10.415,warmup,4952.0,1752.0,8.6759,60.47
10.515,warmup,4952.0,1760.0,8.7155,60.50
10.615,warmup,4952.0,1752.0,8.6759,60.53
10.715,warmup,4952.0,1744.0,8.6363,60.44
10.815,warmup,4952.0,1752.0,8.6759,60.44
10.915,warmup,4952.0,1768.0,8.7551,60.69
11.015,warmup,4952.0,1760.0,8.7155,60.66
11.116,warmup,4952.0,1744.0,8.6363,60.69
11.216,warmup,4952.0,1744.0,8.6363,60.56
11.316,warmup,4952.0,1768.0,8.7551,60.62
11.416,warmup,4952.0,1760.0,8.7155,60.81
11.516,warmup,4952.0,1744.0,8.6363,60.56
11.616,warmup,4952.0,1744.0,8.6363,60.62
11.716,warmup,4952.0,1760.0,8.7155,60.91
11.816,warmup,4952.0,1760.0,8.7155,60.81
11.917,warmup,4952.0,1760.0,8.7155,60.66
12.017,warmup,4952.0,1744.0,8.6363,60.69
12.117,warmup,4952.0,1752.0,8.6759,60.59
12.217,warmup,4944.0,1776.0,8.7805,60.78
12.317,warmup,4944.0,1768.0,8.7410,60.72
12.417,warmup,4952.0,1768.0,8.7551,60.69
12.518,warmup,4952.0,1752.0,8.6759,60.69
12.618,warmup,4952.0,1760.0,8.7155,60.66
12.718,warmup,4944.0,1784.0,8.8201,61.00
12.818,warmup,4952.0,1776.0,8.7948,60.91
12.918,warmup,4952.0,1768.0,8.7551,60.78
13.018,warmup,4952.0,1752.0,8.6759,60.72
13.118,warmup,4952.0,1768.0,8.7551,60.91
13.218,warmup,4952.0,1776.0,8.7948,60.81
13.319,warmup,4952.0,1768.0,8.7551,60.62
13.419,warmup,4952.0,1744.0,8.6363,60.88
13.519,warmup,4952.0,1760.0,8.7155,60.84
13.619,warmup,4952.0,1768.0,8.7551,60.69
13.719,warmup,4952.0,1760.0,8.7155,60.75
13.819,warmup,4952.0,1744.0,8.6363,60.84
13.919,warmup,4952.0,1752.0,8.6759,60.66
14.020,warmup,4952.0,1768.0,8.7551,60.69
14.120,warmup,4952.0,1760.0,8.7155,60.72
14.220,warmup,4952.0,1752.0,8.6759,60.66
14.320,warmup,4952.0,1752.0,8.6759,60.72
14.420,warmup,4952.0,1768.0,8.7551,60.72
14.520,warmup,4944.0,1776.0,8.7805,61.09
14.620,warmup,4952.0,1776.0,8.7948,60.97
14.721,warmup,4952.0,1768.0,8.7551,60.84
14.821,warmup,4952.0,1752.0,8.6759,60.91
14.921,warmup,4952.0,1776.0,8.7948,60.94
15.021,warmup,4944.0,1784.0,8.8201,60.94
15.121,warmup,4952.0,1784.0,8.8344,60.81
15.221,warmup,4952.0,1776.0,8.7948,60.97
15.322,warmup,4952.0,1760.0,8.7155,60.72
15.422,warmup,4952.0,1776.0,8.7948,60.72
15.522,warmup,4944.0,1792.0,8.8596,61.00
15.622,warmup,4944.0,1784.0,8.8201,60.91
15.722,warmup,4952.0,1784.0,8.8344,60.91
15.822,warmup,4952.0,1768.0,8.7551,60.81
15.922,warmup,4952.0,1768.0,8.7551,60.81
16.023,warmup,4944.0,1784.0,8.8201,60.91
16.123,warmup,4944.0,1784.0,8.8201,60.97
16.223,warmup,4944.0,1784.0,8.8201,61.12
16.323,warmup,4952.0,1768.0,8.7551,60.97
16.424,warmup,4952.0,1768.0,8.7551,60.84
16.524,warmup,4952.0,1776.0,8.7948,61.22
16.624,warmup,4952.0,1784.0,8.8344,61.16
16.724,warmup,4952.0,1776.0,8.7948,60.94
