t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4984.0,1016.0,5.0637,58.62
0.100,warmup,4984.0,1008.0,5.0239,58.59
0.200,warmup,4984.0,984.0,4.9043,58.56
0.300,warmup,4992.0,968.0,4.8323,58.53
0.401,warmup,4984.0,968.0,4.8245,58.56
0.501,warmup,4984.0,968.0,4.8245,58.78
0.601,warmup,4984.0,968.0,4.8245,58.69
0.701,warmup,4984.0,968.0,4.8245,58.72
0.801,warmup,4984.0,968.0,4.8245,58.69
0.901,warmup,4984.0,968.0,4.8245,58.66
1.001,warmup,4984.0,968.0,4.8245,58.62
1.102,warmup,4984.0,968.0,4.8245,58.59
1.202,warmup,4984.0,968.0,4.8245,58.59
1.302,warmup,4984.0,968.0,4.8245,58.53
1.402,warmup,4984.0,968.0,4.8245,58.75
1.502,warmup,4984.0,968.0,4.8245,58.66
1.602,warmup,4984.0,968.0,4.8245,58.69
1.703,warmup,4984.0,968.0,4.8245,58.59
1.803,warmup,4984.0,968.0,4.8245,58.66
1.903,warmup,4984.0,968.0,4.8245,58.56
2.003,warmup,4984.0,968.0,4.8245,58.66
2.103,warmup,4984.0,968.0,4.8245,58.66
2.203,warmup,4984.0,968.0,4.8245,58.62
2.303,warmup,4984.0,968.0,4.8245,58.78
2.404,warmup,4984.0,968.0,4.8245,58.72
2.504,warmup,4984.0,968.0,4.8245,58.66
2.604,warmup,4984.0,968.0,4.8245,58.66
2.704,warmup,4984.0,968.0,4.8245,58.62
2.804,warmup,4984.0,968.0,4.8245,58.66
2.904,warmup,4984.0,968.0,4.8245,58.66
3.004,warmup,4984.0,968.0,4.8245,58.66
3.104,warmup,4984.0,968.0,4.8245,58.62
3.205,warmup,4984.0,968.0,4.8245,58.75
3.305,warmup,4984.0,968.0,4.8245,58.78
3.405,warmup,4984.0,968.0,4.8245,58.72
3.505,warmup,4984.0,968.0,4.8245,58.72
3.605,warmup,4984.0,968.0,4.8245,58.66
3.705,warmup,4984.0,968.0,4.8245,58.59
3.805,warmup,4984.0,968.0,4.8245,58.56
3.906,warmup,4984.0,968.0,4.8245,58.59
4.006,warmup,4984.0,968.0,4.8245,58.81
4.106,warmup,4984.0,968.0,4.8245,58.81
4.206,warmup,4984.0,968.0,4.8245,58.78
4.306,warmup,4984.0,968.0,4.8245,58.69
4.406,warmup,4984.0,968.0,4.8245,58.72
4.506,warmup,4984.0,968.0,4.8245,58.59
4.607,warmup,4984.0,968.0,4.8245,58.66
4.707,warmup,4984.0,968.0,4.8245,58.66
4.807,warmup,4984.0,968.0,4.8245,58.59
4.907,warmup,4984.0,968.0,4.8245,58.66
5.007,warmup,4984.0,968.0,4.8245,58.84
5.107,warmup,4984.0,968.0,4.8245,58.81
5.207,warmup,4984.0,968.0,4.8245,58.72
5.308,warmup,4984.0,968.0,4.8245,58.75
5.408,warmup,4984.0,968.0,4.8245,58.72
5.508,warmup,4984.0,968.0,4.8245,58.66
5.608,warmup,4984.0,968.0,4.8245,58.78
5.708,warmup,4984.0,968.0,4.8245,58.56
5.808,warmup,4984.0,968.0,4.8245,58.66
5.908,warmup,4984.0,968.0,4.8245,58.78
6.009,warmup,4984.0,968.0,4.8245,58.75
6.109,warmup,4984.0,968.0,4.8245,58.69
6.209,warmup,4984.0,968.0,4.8245,58.72
6.309,warmup,4984.0,968.0,4.8245,58.72
6.409,warmup,4984.0,968.0,4.8245,58.75
6.509,warmup,4984.0,968.0,4.8245,58.66
6.609,warmup,4984.0,968.0,4.8245,58.62
6.710,warmup,4984.0,968.0,4.8245,58.62
6.810,warmup,4984.0,968.0,4.8245,58.81
6.910,warmup,4984.0,968.0,4.8245,58.75
7.010,warmup,4984.0,968.0,4.8245,58.72
7.110,warmup,4984.0,968.0,4.8245,58.81
7.210,warmup,4984.0,968.0,4.8245,58.72
7.310,warmup,4984.0,968.0,4.8245,58.72
7.411,warmup,4984.0,968.0,4.8245,58.66
7.511,warmup,4984.0,968.0,4.8245,58.69
7.611,warmup,4984.0,968.0,4.8245,58.59
7.711,warmup,4984.0,968.0,4.8245,58.62
7.811,warmup,4984.0,968.0,4.8245,58.75
7.911,warmup,4984.0,968.0,4.8245,58.78
8.012,warmup,4984.0,968.0,4.8245,58.69
8.112,warmup,4984.0,968.0,4.8245,58.75
8.212,warmup,4984.0,968.0,4.8245,58.69
8.312,warmup,4984.0,968.0,4.8245,58.72
8.412,warmup,4984.0,968.0,4.8245,58.69
8.512,warmup,4984.0,968.0,4.8245,58.62
8.612,warmup,4984.0,968.0,4.8245,58.84
8.713,warmup,4984.0,968.0,4.8245,58.75
8.813,warmup,4984.0,976.0,4.8644,58.81
8.913,warmup,4984.0,976.0,4.8644,58.72
9.013,warmup,4984.0,976.0,4.8644,58.72
9.113,warmup,4984.0,968.0,4.8245,58.75
9.213,warmup,4984.0,976.0,4.8644,58.72
9.313,warmup,4984.0,976.0,4.8644,58.69
9.413,warmup,4984.0,976.0,4.8644,58.66
9.514,warmup,4984.0,976.0,4.8644,58.94
9.614,warmup,4984.0,976.0,4.8644,58.91
9.714,warmup,4984.0,976.0,4.8644,58.72
9.814,warmup,4984.0,976.0,4.8644,58.78
9.914,warmup,4984.0,976.0,4.8644,58.75
10.014,warmup,4984.0,976.0,4.8644,58.66
10.114,warmup,4984.0,976.0,4.8644,58.72
10.215,warmup,4984.0,976.0,4.8644,58.56
10.315,warmup,4984.0,976.0,4.8644,58.62
10.415,warmup,4984.0,976.0,4.8644,58.94
10.515,warmup,4984.0,976.0,4.8644,58.84
10.615,warmup,4984.0,976.0,4.8644,58.75
10.715,warmup,4984.0,976.0,4.8644,58.72
10.815,warmup,4984.0,976.0,4.8644,58.69
10.915,warmup,4984.0,976.0,4.8644,58.72
11.016,warmup,4984.0,976.0,4.8644,58.72
11.116,warmup,4984.0,976.0,4.8644,58.75
11.216,warmup,4984.0,976.0,4.8644,58.66
11.316,warmup,4984.0,976.0,4.8644,58.66
11.416,warmup,4984.0,976.0,4.8644,58.84
11.516,warmup,4984.0,976.0,4.8644,58.81
11.616,warmup,4984.0,976.0,4.8644,58.78
11.717,warmup,4984.0,976.0,4.8644,58.72
11.817,warmup,4984.0,976.0,4.8644,58.72
11.917,warmup,4984.0,976.0,4.8644,58.75
12.017,warmup,4984.0,976.0,4.8644,58.66
12.117,warmup,4984.0,976.0,4.8644,58.66
12.217,warmup,4984.0,976.0,4.8644,58.62
12.317,warmup,4984.0,976.0,4.8644,58.91
12.417,warmup,4984.0,976.0,4.8644,58.81
12.518,warmup,4984.0,976.0,4.8644,58.78
12.618,warmup,4984.0,976.0,4.8644,58.81
12.718,warmup,4984.0,976.0,4.8644,58.75
12.818,warmup,4984.0,976.0,4.8644,58.72
12.918,warmup,4984.0,976.0,4.8644,58.72
13.018,warmup,4984.0,976.0,4.8644,58.72
13.118,warmup,4984.0,976.0,4.8644,58.69
13.219,warmup,4984.0,976.0,4.8644,58.94
13.319,warmup,4984.0,976.0,4.8644,58.91
13.419,warmup,4984.0,976.0,4.8644,58.84
13.519,warmup,4984.0,976.0,4.8644,58.75
13.619,warmup,4984.0,976.0,4.8644,58.69
13.719,warmup,4984.0,976.0,4.8644,58.69
13.819,warmup,4984.0,976.0,4.8644,58.66
13.919,warmup,4984.0,976.0,4.8644,58.69
14.020,warmup,4984.0,976.0,4.8644,58.66
14.120,warmup,4984.0,976.0,4.8644,58.62
14.220,warmup,4984.0,976.0,4.8644,58.88
14.320,warmup,4984.0,976.0,4.8644,58.88
14.420,warmup,4984.0,976.0,4.8644,58.75
14.520,warmup,4984.0,976.0,4.8644,58.69
14.620,warmup,4984.0,976.0,4.8644,58.69
14.720,warmup,4984.0,976.0,4.8644,58.66
14.821,warmup,4984.0,976.0,4.8644,58.72
14.921,warmup,4984.0,976.0,4.8644,58.69
15.021,warmup,4984.0,976.0,4.8644,58.91
15.121,warmup,4984.0,976.0,4.8644,58.88
15.221,warmup,4984.0,976.0,4.8644,58.91
15.321,warmup,4984.0,976.0,4.8644,58.81
15.421,warmup,4984.0,976.0,4.8644,58.78
15.522,warmup,4984.0,976.0,4.8644,58.62
15.622,warmup,4984.0,976.0,4.8644,58.66
15.722,warmup,4984.0,976.0,4.8644,58.72
15.822,warmup,4984.0,976.0,4.8644,58.66
15.922,warmup,4984.0,976.0,4.8644,58.88
16.022,warmup,4984.0,976.0,4.8644,58.84
16.122,warmup,4984.0,976.0,4.8644,58.78
16.222,warmup,4984.0,976.0,4.8644,58.69
16.323,warmup,4984.0,976.0,4.8644,58.72
16.423,warmup,4984.0,976.0,4.8644,58.75
16.523,warmup,4984.0,976.0,4.8644,58.66
16.623,warmup,4984.0,976.0,4.8644,58.59
16.723,warmup,4984.0,976.0,4.8644,58.69
16.823,warmup,4984.0,976.0,4.8644,58.91
16.923,warmup,4984.0,976.0,4.8644,58.91
17.024,warmup,4984.0,976.0,4.8644,58.84
17.124,warmup,4984.0,968.0,4.8245,58.78
17.224,warmup,4984.0,968.0,4.8245,58.75
17.324,warmup,4984.0,968.0,4.8245,58.69
17.424,warmup,4984.0,968.0,4.8245,58.59
17.524,warmup,4984.0,968.0,4.8245,58.72
17.624,warmup,4984.0,968.0,4.8245,58.69
17.724,warmup,4984.0,968.0,4.8245,58.91
17.825,warmup,4984.0,968.0,4.8245,58.94
