detector,runtime,mode,tag,k,run,imgsz,watts_mean,watts_std,fps,infer_fps,mJ_total,mJ_marginal_static,mJ_marginal_over_idle_gate,temp_start,temp_end,measure_s,n_samples
yolo26s,trt-fp16,active,active_trt_yolo26s,1,1,640,6.6743,0.0255,26.694,26.694,250.03,83.47,70.08,61.19,62.28,300.0,2996
yolo26s,trt-fp16,active,active_trt_yolo26s,1,2,640,6.6765,0.0231,26.692,26.692,250.13,83.56,70.17,61.34,62.62,300.0,2996
yolo26s,trt-fp16,active,active_trt_yolo26s,1,3,640,6.6909,0.0339,26.802,26.802,249.64,83.76,70.42,61.25,62.59,300.0,2996
yolov3u,trt-fp16,active,active_trt_yolov3,1,1,416,8.5046,0.0557,20.622,20.622,412.4,196.81,179.47,62.0,64.78,300.0,2995
yolov3u,trt-fp16,active,active_trt_yolov3,1,2,416,8.4891,0.055,20.468,20.468,414.75,197.53,180.06,62.66,64.94,300.0,2995
yolov3u,trt-fp16,active,active_trt_yolov3,1,3,416,8.4986,0.0587,20.502,20.502,414.53,197.67,180.22,62.62,65.41,300.0,2995
yolo26s,ort-cuda,active,active_yolo26s,1,1,640,8.7248,0.1189,17.26,17.26,505.49,247.9,227.18,61.94,65.19,300.1,2996
yolo26s,ort-cuda,active,active_yolo26s,1,2,640,8.8769,0.1023,17.994,17.994,493.33,246.24,226.37,62.91,65.78,300.0,2996
yolo26s,ort-cuda,active,active_yolo26s,1,3,640,8.7839,0.0892,17.566,17.566,500.05,246.94,226.59,62.81,65.44,300.0,2995
yolov3u,ort-cuda,active,active_yolov3,1,1,416,11.0199,0.1257,7.883,7.883,1397.93,833.93,788.57,64.81,69.16,300.0,2995
yolov3u,ort-cuda,active,active_yolov3,1,2,416,11.0049,0.1187,7.859,7.859,1400.29,834.56,789.07,64.78,69.09,300.1,2996
yolov3u,ort-cuda,active,active_yolov3,1,3,416,11.0118,0.1133,7.874,7.874,1398.5,833.85,788.44,64.88,69.28,300.1,2997
yolo26s,cpu,idle-skip,idle_yolo26s,1,1,640,4.8901,0.0854,30.0,0.0,163.0,14.8,,59.0,59.34,300.0,2996
yolo26s,cpu,idle-skip,idle_yolo26s,1,2,640,4.8952,0.0757,30.0,0.0,163.17,14.97,,59.31,59.47,300.0,2996
yolo26s,cpu,idle-skip,idle_yolo26s,1,3,640,4.8914,0.0852,30.0,0.0,163.05,14.84,,59.47,59.31,300.0,2996
yolov3u,cpu,idle-skip,idle_yolov3,1,1,416,4.6379,0.0897,30.0,0.0,154.6,6.39,,59.0,58.44,300.0,2996
yolov3u,cpu,idle-skip,idle_yolov3,1,2,416,4.6294,0.0822,30.0,0.0,154.31,6.11,,58.41,58.41,300.0,2996
yolov3u,cpu,idle-skip,idle_yolov3,1,3,416,4.6352,0.0848,30.0,0.0,154.51,6.3,,58.47,58.72,300.0,2995
none,cpu-mog2,idle-gate,idlegate,1,1,416,4.8108,0.0825,30.0,0.0,160.36,12.16,,59.69,58.84,300.0,2996
none,cpu-mog2,idle-gate,idlegate,1,2,416,4.7977,0.0212,30.0,0.0,159.92,11.72,,58.84,58.69,300.0,2996
none,cpu-mog2,idle-gate,idlegate,1,3,416,4.8024,0.0467,30.0,0.0,160.08,11.88,,58.47,58.72,300.0,2996
none,,static,static,1,1,640,4.4462,0.0752,19.971,0.0,222.63,,,59.06,58.31,180.0,1797
none,,static,static,1,2,640,4.4435,0.0685,19.953,0.0,222.7,,,58.44,58.44,180.0,1797
none,,static,static,1,3,640,4.4485,0.094,19.956,0.0,222.92,,,58.62,58.81,180.0,1797
yolo26s,ort-cuda,sweep,sweep_yolo26s_k10,10,1,640,5.6411,0.1553,29.996,3.003,188.06,39.84,27.92,60.59,61.09,300.1,2996
yolo26s,ort-cuda,sweep,sweep_yolo26s_k2,2,1,640,8.3691,0.1028,29.997,15.0,279.0,130.78,118.86,62.34,65.06,300.1,2996
yolo26s,ort-cuda,sweep,sweep_yolo26s_k5,5,1,640,6.3821,0.1071,29.995,6.002,212.77,64.55,52.62,60.94,62.03,300.1,2996
