t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4976.0,1152.0,5.7324,60.12
0.100,warmup,4976.0,1120.0,5.5731,60.12
0.200,warmup,4976.0,1072.0,5.3343,60.09
0.300,warmup,4984.0,1032.0,5.1435,60.00
0.401,warmup,4976.0,1120.0,5.5731,59.94
0.501,warmup,4976.0,1192.0,5.9314,60.06
0.601,warmup,4968.0,1280.0,6.3590,60.00
0.701,warmup,4968.0,1336.0,6.6372,60.00
0.801,warmup,4968.0,1392.0,6.9155,59.91
0.901,warmup,4968.0,1408.0,6.9949,60.22
1.002,warmup,4960.0,1472.0,7.3011,60.03
1.102,warmup,4960.0,1496.0,7.4202,60.06
1.202,warmup,4960.0,1568.0,7.7773,59.97
1.302,warmup,4960.0,1584.0,7.8566,60.03
1.402,warmup,4952.0,1616.0,8.0024,60.03
1.502,warmup,4952.0,1648.0,8.1609,60.00
1.602,warmup,4952.0,1648.0,8.1609,60.00
1.703,warmup,4952.0,1680.0,8.3194,60.03
1.803,warmup,4952.0,1704.0,8.4382,60.25
1.903,warmup,4952.0,1688.0,8.3590,60.12
2.003,warmup,4952.0,1720.0,8.5174,60.25
2.103,warmup,4952.0,1712.0,8.4778,60.03
2.203,warmup,4952.0,1712.0,8.4778,60.03
2.303,warmup,4952.0,1736.0,8.5967,60.38
2.404,warmup,4952.0,1728.0,8.5571,60.12
2.504,warmup,4952.0,1728.0,8.5571,60.09
2.604,warmup,4952.0,1728.0,8.5571,60.09
2.704,warmup,4952.0,1704.0,8.4382,60.12
2.804,warmup,4952.0,1712.0,8.4778,60.22
2.904,warmup,4952.0,1688.0,8.3590,60.25
3.004,warmup,4952.0,1704.0,8.4382,60.19
3.105,warmup,4952.0,1680.0,8.3194,60.16
3.205,warmup,4952.0,1696.0,8.3986,60.16
3.305,warmup,4952.0,1672.0,8.2797,60.12
3.405,warmup,4952.0,1688.0,8.3590,60.09
3.505,warmup,4952.0,1664.0,8.2401,60.12
3.605,warmup,4952.0,1688.0,8.3590,60.16
3.705,warmup,4952.0,1664.0,8.2401,60.28
3.806,warmup,4952.0,1688.0,8.3590,60.31
3.906,warmup,4952.0,1664.0,8.2401,60.28
4.006,warmup,4952.0,1688.0,8.3590,60.19
4.106,warmup,4952.0,1656.0,8.2005,60.19
